OTUID,Kingdom,conf,Phylum,conf,Class,conf,Order,conf,Family,conf,Genus,conf
OTU_180,Fungi,1,Ascomycota,1,Dothideomycetes,1,Pleosporales,1,uncultured_fungus,0.56,Cladophialophora,0.6006
OTU_188,Fungi,0.36,Basidiomycota,0.072,Pucciniomycetes,0.0072,Pucciniales,0.0007,Melampsora_larici-populina_98AG31,0,Diatrypasimilis,0.0002
OTU_187,Fungi,0.59,Ascomycota,0.2124,Saccharomycetes,0.0404,Saccharomycetales,0.0077,Saccharomyces_cerevisiae_,baker's_yeast,Parapenidiella,0.0004
OTU_186,Fungi,1,Ascomycota,1,Eurotiomycetes,1,Chaetothyriales,1,Herpotrichiellaceae,0.91,Isaria,0.0016
OTU_192,Fungi,0.55,Ascomycota,0.253,Sordariomycetes,0.1164,Xylariales,0.0105,Incertae_Sedis,0.0023,d:Eukaryota,
OTU_193,Fungi,0.74,Ascomycota,0.3552,Dothideomycetes,0.0924,Capnodiales,0.0231,Teratosphaeriaceae,0.0032,Sphaeronaemella,0.0002
OTU_195,Fungi,0.68,Ascomycota,0.3944,Sordariomycetes,0.2209,Hypocreales,0.0795,Cordycipitaceae,0.0135,Mycosphaerella,0
OTU_194,Fungi,0.45,Cryptomycota,0.0315,uncultured_fungus,0.0019,,,,,,
OTU_198,Fungi,0.58,Ascomycota,0.319,Sordariomycetes,0.1659,Microascales,0.0199,Incertae_Sedis,0.003,d:Eukaryota,
OTU_197,Fungi,0.56,Ascomycota,0.252,Dothideomycetes,0.0454,Capnodiales,0.0054,Mycosphaerellaceae,0.0003,,
OTU_201,Fungi,0.41,Incertae_Sedis,0.0492,Incertae_Sedis,0.0079,Harpellales,0.0008,Zancudomyces_culisetae,0,,
OTU_203,Fungi,0.48,LKM15,0.0288,Mitosporidium_daphniae,0.0017,,,,,,
OTU_208,Fungi,0.69,Ascomycota,0.4623,Sordariomycetes,0.2959,Hypocreales,0.1272,Nilaparvata_lugens_yeast-like_symbiont,0.0165,,
OTU_202,Fungi,1,Glomeromycota,1,Glomeromycetes,1,Glomerales,1,Glomus_sp._5004a13.VerdeG,0.19,,
OTU_190,Fungi,0.49,Incertae_Sedis,0.0588,Incertae_Sedis,0.0076,Harpellales,0.0005,Zancudomyces_culisetae,0,,
OTU_210,Fungi,0.41,Basidiomycota,0.0902,Agaricomycetes,0.0171,cf._Phlebia_sp._CBS_118.16,0.0009,,,Conidiobolus,0
OTU_214,Fungi,0.78,Ascomycota,0.4524,Sordariomycetes,0.2579,Hypocreales,0.147,Stereopsis_radicans,0.0838,Exophiala,0
OTU_213,Fungi,0.51,Ascomycota,0.1428,Saccharomycetes,0.0243,Saccharomycetales,0.0041,Candida_sp._BCC_7717,0.0003,Tuber,0
OTU_215,Fungi,0.4,Entomophthoromycota,0.036,Incertae_Sedis,0.0054,Entomophthorales,0.0005,Ancylistaceae,0,Albertiniella,0.0001
OTU_218,Fungi,0.48,Ascomycota,0.168,Eurotiomycetes,0.0202,Chaetothyriales,0.0022,Herpotrichiellaceae,0.0002,Candida,0
OTU_219,Fungi,0.41,Ascomycota,0.0984,Pezizomycetes,0.0049,Pezizales,0.0002,Tuberaceae,0,d:Eukaryota,
OTU_222,Fungi,0.55,Ascomycota,0.2475,Sordariomycetes,0.099,Sordariales,0.0119,Cephalothecaceae,0.0013,Microidium,0
OTU_221,Fungi,0.41,Ascomycota,0.1353,Saccharomycetes,0.0189,Saccharomycetales,0.0027,Incertae_Sedis,0.0003,Trichophyton,0
OTU_225,Fungi,0.32,Cryptomycota,0.0224,uncultured_eukaryote,0.002,,,,,,
OTU_229,Fungi,0.62,Ascomycota,0.1922,Leotiomycetes,0.0211,Erysiphales,0.0006,Erysiphaceae,0,Parapenidiella,0.0039
OTU_230,Fungi,0.54,Ascomycota,0.2214,Eurotiomycetes,0.031,Onygenales,0.0015,Arthrodermataceae,0.0001,Candida,0
OTU_232,Fungi,0.53,Ascomycota,0.1484,Sordariomycetes,0.0178,Hypocreales,0.0016,Stereopsis_radicans,0.0001,,
OTU_217,Fungi,0.77,Ascomycota,0.5236,Dothideomycetes,0.2513,Capnodiales,0.098,Teratosphaeriaceae,0.0206,Malassezia,0
OTU_235,Fungi,0.52,Ascomycota,0.2132,Saccharomycetes,0.0171,Saccharomycetales,0.0014,Incertae_Sedis,0.0001,Paramicrosporidium,0
OTU_240,Fungi,0.72,Ascomycota,0.4968,Sordariomycetes,0.3378,Xylariales,0.0507,Xylaria_sp._JS573,0.0046,,
OTU_244,Fungi,0.33,Basidiomycota,0.0264,Exobasidiomycetes,0.0011,Malasseziales,0,Incertae_Sedis,0,d:Eukaryota,
OTU_245,Fungi,0.53,Cryptomycota,0.0318,Incertae_Sedis,0.0041,Incertae_Sedis,0.0002,Incertae_Sedis,0,f:Incertae_Sedis,0
OTU_246,Fungi,0.51,Incertae_Sedis,0.1377,Incertae_Sedis,0.0413,Mucorales,0.0058,Mucor_racemosus,0.0003,Parapenidiella,0.0008
OTU_249,Fungi,0.35,Cryptomycota,0.0105,uncultured_fungus,0.0003,,,,,Mycosphaerella,0
OTU_250,Fungi,0.44,Chytridiomycota,0.0572,Incertae_Sedis,0.0092,c:Chytridiomycetes,0.0012,o:Rhizophydiales,0.0001,Smittium,0.0001
OTU_251,Fungi,0.65,Ascomycota,0.3705,Dothideomycetes,0.1482,Capnodiales,0.0563,Teratosphaeriaceae,0.009,Dioszegia,0
OTU_254,Fungi,0.44,Ascomycota,0.1672,Dothideomycetes,0.0251,Capnodiales,0.0035,Mycosphaerellaceae,0.0003,Mycosphaerella,0
OTU_252,Fungi,0.55,Incertae_Sedis,0.0935,Incertae_Sedis,0.0262,Harpellales,0.0045,Legeriomycetaceae,0.0008,,
OTU_253,Fungi,0.68,Basidiomycota,0.1632,Tremellomycetes,0.0163,Tremellales,0.0016,Tremellaceae,0.0001,Ochroconis,0.0006
OTU_255,Fungi,0.44,Ascomycota,0.1144,Dothideomycetes,0.0069,Capnodiales,0.0003,Mycosphaerellaceae,0,Smittium,0
OTU_261,Fungi,0.49,Incertae_Sedis,0.0392,Incertae_Sedis,0.0035,Harpellales,0.0003,Zancudomyces_culisetae,0,Smittium,0
OTU_241,Fungi,0.71,Ascomycota,0.3337,Incertae_Sedis,0.0701,Incertae_Sedis,0.0133,Incertae_Sedis,0.0036,Conidiobolus,0
OTU_259,Fungi,0.37,Incertae_Sedis,0.0407,Incertae_Sedis,0.0045,Harpellales,0.0004,Legeriomycetaceae,0,Diatrypasimilis,0.0011
OTU_262,Fungi,0.34,Incertae_Sedis,0.0374,Incertae_Sedis,0.0045,Harpellales,0.0004,Legeriomycetaceae,0,Calocera,0
OTU_260,Fungi,0.44,Entomophthoromycota,0.0308,Incertae_Sedis,0.0037,Entomophthorales,0.0003,Ancylistaceae,0,,
OTU_263,Fungi,0.72,Ascomycota,0.4824,Sordariomycetes,0.3087,Xylariales,0.0525,Incertae_Sedis,0.0121,,
OTU_269,Fungi,0.55,Basidiomycota,0.132,Dacrymycetes,0.0053,Dacrymycetales,0.0002,Dacrymycetaceae,0,Friedmanniomyces,0.0001
OTU_272,Fungi,0.54,Ascomycota,0.162,Sordariomycetes,0.0113,Hypocreales,0.0007,Stereopsis_radicans,0,,
OTU_274,Fungi,0.66,Ascomycota,0.4026,Sordariomycetes,0.2375,Xylariales,0.0214,Xylaria_sp._JS573,0.0015,Candida,0
OTU_273,Fungi,0.42,Ascomycota,0.1176,Dothideomycetes,0.0223,Capnodiales,0.004,Incertae_Sedis,0.0005,,
OTU_275,Fungi,0.45,Ascomycota,0.09,Sordariomycetes,0.009,Hypocreales,0.0009,Stereopsis_radicans,0.0001,,
OTU_277,Fungi,0.29,Ascomycota,0.0609,Saccharomycetes,0.003,Saccharomycetales,0.0002,Incertae_Sedis,0,Parapenidiella,0.0038
OTU_267,Fungi,0.24,Ascomycota,0.0288,Pezizomycetes,0.0014,Pezizales,0.0001,uncultured_Pezizaceae,0,Parapenidiella,0.0046
OTU_283,Fungi,0.42,Ascomycota,0.0756,Sordariomycetes,0.0038,Hypocreales,0.0002,Stereopsis_radicans,0,uncultured_Neocallimastigales,0
OTU_286,Fungi,0.82,Ascomycota,0.5412,Dothideomycetes,0.2327,Capnodiales,0.0861,Teratosphaeriaceae,0.0181,,
OTU_285,Fungi,0.86,Ascomycota,0.645,Dothideomycetes,0.329,Capnodiales,0.1447,Teratosphaeriaceae,0.0289,Brachyconidiellopsis,0
OTU_287,Fungi,0.35,Neocallimastigomycota,0.0175,Neocallimastigomycetes,0.0009,Neocallimastigales,0,Neocallimastigaceae,0,,
OTU_290,Fungi,0.54,Ascomycota,0.162,Sordariomycetes,0.0081,Hypocreales,0.0004,Stereopsis_radicans,0,,
OTU_301,Fungi,0.54,Ascomycota,0.1944,Sordariomycetes,0.0214,Microascales,0.0013,Microascaceae,0.0001,f:Incertae_Sedis,0
OTU_303,Fungi,0.6,Ascomycota,0.162,Sordariomycetes,0.013,Hypocreales,0.001,Stereopsis_radicans,0.0001,Myrothecium,0
OTU_306,Fungi,0.42,Ascomycota,0.0924,Sordariomycetes,0.0055,Hypocreales,0.0003,Stereopsis_radicans,0,,
OTU_310,Fungi,0.37,Chytridiomycota,0.037,Incertae_Sedis,0.0074,c:Chytridiomycetes,0.0007,o:Rhizophydiales,0.0001,,
OTU_305,Fungi,0.49,Ascomycota,0.147,Sordariomycetes,0.0088,Hypocreales,0.0005,Incertae_Sedis,0.0001,Pandora,0
OTU_318,Fungi,0.77,Ascomycota,0.5544,Sordariomycetes,0.3825,Incertae_Sedis,0.0765,Colletotrichum_sp._MD-1,0.0061,Teratosphaeria,0.0056
OTU_316,Fungi,0.71,Ascomycota,0.3337,Sordariomycetes,0.0234,Hypocreales,0.0016,Stereopsis_radicans,0.0001,Flammispora,0.0025
OTU_314,Fungi,0.66,Entomophthoromycota,0.0726,Incertae_Sedis,0.0211,Entomophthorales,0.0023,Entomophthoraceae,0.0002,Rinodina,0
OTU_322,Fungi,0.84,Ascomycota,0.588,Dothideomycetes,0.2587,Capnodiales,0.1061,Teratosphaeriaceae,0.0265,Tremella,0
OTU_324,Fungi,0.75,Ascomycota,0.5175,Sordariomycetes,0.3415,Xylariales,0.0615,Incertae_Sedis,0.0178,Millerozyma,0
OTU_321,Fungi,0.3,Ascomycota,0.039,Lecanoromycetes,0.0035,Lecanorales,0.0003,Physciaceae,0,,
OTU_325,Fungi,0.43,Basidiomycota,0.0387,Tremellomycetes,0.0023,Tremellales,0.0001,Tremellaceae,0,Teratosphaeria,0.0032
OTU_329,Fungi,0.54,Ascomycota,0.1566,Saccharomycetes,0.0266,Saccharomycetales,0.0045,Debaryomycetaceae,0.0001,,
OTU_332,Fungi,0.46,Ascomycota,0.115,Sordariomycetes,0.0173,Hypocreales,0.0026,Stereopsis_radicans,0.0004,Coniochaeta,0.0005
OTU_338,Fungi,0.75,Ascomycota,0.5025,Dothideomycetes,0.2161,Capnodiales,0.0843,Teratosphaeriaceae,0.0211,uncultured_Nucleariidae,0.0016
OTU_340,Fungi,0.36,Ascomycota,0.072,Sordariomycetes,0.0065,Hypocreales,0.0006,Stereopsis_radicans,0.0001,d:Eukaryota,
OTU_343,Fungi,0.66,Ascomycota,0.4092,Sordariomycetes,0.2455,Sordariales,0.0442,Coniochaetaceae,0.0049,Dendryphiopsis,0
OTU_327,Fungi,0.94,Chytridiomycota,0.2632,Incertae_Sedis,0.2316,c:Monoblepharidomycetes,0.044,o:Monoblepharidales,0.0084,,
OTU_348,Fungi,0.36,Cryptomycota,0.0108,uncultured_fungus,0.0004,,,,,Tuber,0
OTU_352,Fungi,0.33,Ascomycota,0.0528,Dothideomycetes,0.0026,Incertae_Sedis,0.0001,Incertae_Sedis,0,,
OTU_349,Fungi,0.39,Ascomycota,0.0819,Sordariomycetes,0.0041,Hypocreales,0.0002,Stereopsis_radicans,0,,
OTU_351,Fungi,0.61,Ascomycota,0.244,Pezizomycetes,0.0195,Pezizales,0.0016,Tuberaceae,0,Parapenidiella,0.0045
OTU_353,Fungi,0.34,Ascomycota,0.068,Saccharomycetes,0.0075,Saccharomycetales,0.0008,wastewater_metagenome,0,uncultured_Sphaerophragmiaceae,0
OTU_344,Fungi,1,Basidiomycota,1,Tremellomycetes,0.92,Tremellales,0.8464,uncultured_Boletaceae,0.6433,Pilophorus,0
OTU_358,Fungi,0.73,Ascomycota,0.511,Dothideomycetes,0.23,Capnodiales,0.0897,Teratosphaeriaceae,0.0206,Trichophyton,0
OTU_357,Fungi,0.38,Basidiomycota,0.0494,Pucciniomycetes,0.0044,Platygloeales,0.0003,Platygloeaceae,0,Parapenidiella,0.0023
OTU_361,Fungi,0.41,Ascomycota,0.1517,Lecanoromycetes,0.0121,Lecanorales,0.001,Cladoniaceae,0.0001,Isaria,0.0019
OTU_363,Fungi,0.48,Ascomycota,0.2064,Eurotiomycetes,0.0351,Onygenales,0.0053,Arthrodermataceae,0.0005,,
OTU_364,Fungi,0.77,Ascomycota,0.5775,Dothideomycetes,0.2425,Capnodiales,0.0873,Teratosphaeriaceae,0.0166,Smittium,0
OTU_365,Fungi,0.74,Ascomycota,0.5106,Sordariomycetes,0.3217,Hypocreales,0.1319,Cordycipitaceae,0.0171,Melanopsichium,0
OTU_366,Fungi,0.33,Incertae_Sedis,0.0363,Incertae_Sedis,0.004,Harpellales,0.0004,Zancudomyces_culisetae,0,Diatrypasimilis,0.0009
OTU_368,Fungi,0.5,Incertae_Sedis,0.05,Incertae_Sedis,0.006,Harpellales,0.0005,Legeriomycetaceae,0,Candida,0
OTU_370,Fungi,0.52,Basidiomycota,0.0416,Ustilaginomycetes,0.0012,Ustilaginales,0,Ustilaginaceae,0,,
OTU_373,Fungi,0.75,Ascomycota,0.5175,Sordariomycetes,0.3467,Xylariales,0.0381,Incertae_Sedis,0.0133,Spathulospora,0.0003
OTU_356,Fungi,0.37,Ascomycota,0.0703,Saccharomycetes,0.0098,Saccharomycetales,0.0014,Incertae_Sedis,0.0002,,
OTU_377,Fungi,0.4,Ascomycota,0.072,Sordariomycetes,0.0072,Hypocreales,0.0007,Stereopsis_radicans,0.0001,Lobulomycetales_sp._AF011,0
OTU_380,Fungi,0.68,Ascomycota,0.4284,Sordariomycetes,0.2613,Spathulosporales,0.0287,Spathulosporaceae,0.0032,,
OTU_374,Fungi,1,Ascomycota,0.97,Sordariomycetes,0.9118,Hypocreales,0.383,uncultured_fungus,0.1149,,
OTU_386,Fungi,0.44,Chytridiomycota,0.0176,Incertae_Sedis,0.0025,c:Chytridiomycetes,0.0001,o:Chytridiales,0,Archaeorhizomyces,0
OTU_389,Fungi,0.42,Ascomycota,0.126,Dothideomycetes,0.0227,Capnodiales,0.0036,Capnobotryella_sp._MA_4701,0.0001,Russula,0.5645
OTU_392,Fungi,0.66,Basidiomycota,0.0924,Agaricomycetes,0.0083,uncultured_Boletaceae,0.0006,,,,
OTU_393,Fungi,0.6,Ascomycota,0.246,Archaeorhizomycetes,0.0197,Archaeorhizomycetales,0.0016,Archaeorhizomycetaceae,0.0001,Phialemonium,0.0001
OTU_388,Fungi,1,Basidiomycota,1,Agaricomycetes,1,Russulales,0.84,Russulaceae,0.7056,,
OTU_395,Fungi,0.67,Ascomycota,0.4087,Sordariomycetes,0.237,Xylariales,0.0284,Xylaria_sp._JS573,0.0034,Erysiphe,0
OTU_397,Fungi,0.55,Ascomycota,0.2805,Sordariomycetes,0.1403,Sordariales,0.0154,Cephalothecaceae,0.0015,,
OTU_396,Fungi,0.43,Ascomycota,0.1032,Sordariomycetes,0.0103,Hypocreales,0.001,Stereopsis_radicans,0.0001,Leucogyrophana,0.0009
OTU_401,Fungi,0.48,Ascomycota,0.1296,Leotiomycetes,0.0168,Erysiphales,0.0019,Erysiphaceae,0.0002,,
OTU_402,Fungi,0.61,Ascomycota,0.2379,Sordariomycetes,0.0071,Hypocreales,0.0002,Stereopsis_radicans,0,Entomophaga,0
